Product,Quantity,UnitPrice,PaymentMethod,OrderStatus,ItemsInCart,CouponCode,ReferralSource,TotalPrice,Year,Month,DayOfWeek,IsWeekend,FraudScore_Proxy,FraudFlag
Printer,5,502.71,Gift Card,Shipped,7,FREESHIP,Google,2513.55,2023,10,0,0,4,1
Desk,2,534.67,Debit Card,Shipped,7,FREESHIP,Referral,1069.34,2025,6,2,0,0,0
Tablet,4,629.34,Cash,Cancelled,4,WINTER15,Instagram,2517.36,2023,4,1,0,3,0
Desk,1,410.78,Cash,Cancelled,1,FREESHIP,Instagram,410.78,2023,11,3,0,1,0
Laptop,2,533.02,Gift Card,Shipped,2,,Facebook,1066.04,2024,4,0,0,2,0
Desk,3,278.04,Online,Delivered,5,,Instagram,834.1200000000001,2023,7,3,0,2,0
Printer,4,283.79,Online,Pending,8,,Google,1135.16,2024,7,6,1,2,0
Phone,2,512.65,Credit Card,Shipped,5,SAVE10,Email,1025.3,2024,11,2,0,0,0
Desk,4,275.5,Gift Card,Shipped,8,FREESHIP,Google,1102.0,2025,5,5,1,1,0
Desk,3,469.32,Debit Card,Shipped,3,,Google,1407.96,2023,8,3,0,1,0
Tablet,4,21.07,Gift Card,Delivered,4,FREESHIP,Google,84.28,2023,2,4,0,1,0
Laptop,4,263.93,Debit Card,Shipped,4,FREESHIP,Facebook,1055.72,2023,10,4,0,0,0
Desk,3,501.3,Online,Cancelled,3,WINTER15,Facebook,1503.9,2025,1,2,0,2,0
Tablet,1,84.8,Gift Card,Pending,5,,Instagram,84.8,2023,1,6,1,2,0
Tablet,4,450.75,Credit Card,Shipped,6,WINTER15,Email,1803.0,2023,3,1,0,0,0
Chair,4,302.05,Debit Card,Cancelled,6,SAVE10,Google,1208.2,2025,6,4,0,1,0
Laptop,2,199.7,Cash,Pending,4,,Email,399.4,2025,6,0,0,1,0
Printer,2,68.81,Gift Card,Shipped,5,SAVE10,Referral,137.62,2023,8,4,0,1,0
Laptop,1,44.35,Gift Card,Cancelled,1,SAVE10,Instagram,44.35,2024,4,5,1,2,0
Monitor,2,250.98,Credit Card,Delivered,5,,Google,501.96,2024,11,1,0,1,0
Tablet,1,298.06,Debit Card,Pending,3,WINTER15,Google,298.06,2023,12,3,0,0,0
Phone,1,583.9,Cash,Returned,1,,Email,583.9,2023,4,0,0,2,0
Chair,3,528.14,Online,Delivered,3,FREESHIP,Email,1584.42,2025,5,5,1,1,0
Printer,3,684.14,Cash,Cancelled,3,WINTER15,Instagram,2052.42,2023,11,5,1,1,0
Desk,5,272.77,Cash,Pending,7,WINTER15,Email,1363.85,2023,9,2,0,1,0
Chair,4,400.07,Online,Shipped,5,,Referral,1600.28,2024,6,3,0,2,0
Desk,5,219.78,Credit Card,Pending,8,,Facebook,1098.9,2023,8,4,0,2,0
Printer,3,146.91,Credit Card,Delivered,6,FREESHIP,Google,440.73,2024,3,5,1,0,0
Tablet,2,411.49,Credit Card,Returned,4,,Instagram,822.98,2025,4,2,0,2,0
Laptop,2,465.18,Credit Card,Cancelled,2,SAVE10,Google,930.36,2025,5,1,0,1,0
Phone,2,319.91,Credit Card,Cancelled,3,WINTER15,Google,639.82,2024,12,6,1,1,0
Laptop,1,217.56,Debit Card,Delivered,3,,Facebook,217.56,2023,12,2,0,1,0
Phone,2,105.57,Debit Card,Returned,5,WINTER15,Google,211.14,2023,12,2,0,1,0
Printer,5,444.76,Debit Card,Returned,7,,Email,2223.8,2023,12,4,0,3,0
Chair,2,399.04,Cash,Cancelled,3,FREESHIP,Referral,798.08,2025,1,3,0,1,0
Chair,4,534.48,Online,Returned,9,WINTER15,Instagram,2137.92,2024,12,2,0,3,0
Phone,4,408.21,Credit Card,Pending,9,,Instagram,1632.84,2023,7,3,0,2,0
Phone,1,424.4,Online,Shipped,6,WINTER15,Referral,424.4,2023,2,0,0,1,0
Chair,2,269.83,Online,Delivered,4,SAVE10,Email,539.66,2024,11,4,0,1,0
Monitor,2,564.58,Online,Returned,4,WINTER15,Facebook,1129.16,2025,2,4,0,2,0
Tablet,1,331.06,Credit Card,Pending,5,WINTER15,Instagram,331.06,2024,5,3,0,0,0
Printer,1,299.35,Credit Card,Cancelled,5,WINTER15,Email,299.35,2023,10,1,0,1,0
Monitor,4,101.32,Cash,Pending,7,,Referral,405.28,2023,2,4,0,1,0
Monitor,1,211.14,Credit Card,Cancelled,1,SAVE10,Facebook,211.14,2024,3,4,0,1,0
Chair,3,65.86,Online,Pending,8,WINTER15,Google,197.58,2023,7,3,0,1,0
Tablet,1,641.39,Online,Cancelled,1,,Referral,641.39,2025,6,1,0,3,0
Desk,5,536.58,Gift Card,Pending,5,SAVE10,Google,2682.9,2023,12,3,0,4,1
Monitor,2,500.29,Online,Returned,7,WINTER15,Google,1000.58,2024,9,5,1,2,0
Chair,3,86.29,Cash,Delivered,6,WINTER15,Instagram,258.87,2025,3,1,0,0,0
Chair,2,384.14,Online,Returned,2,WINTER15,Email,768.28,2023,5,5,1,2,0
Printer,1,594.96,Cash,Returned,6,,Facebook,594.96,2025,1,5,1,2,0
Printer,1,427.82,Online,Delivered,2,WINTER15,Email,427.82,2024,4,6,1,1,0
Desk,4,662.94,Cash,Cancelled,8,SAVE10,Instagram,2651.76,2025,4,4,0,3,0
Tablet,2,148.22,Credit Card,Delivered,7,WINTER15,Instagram,296.44,2023,8,1,0,0,0
Printer,1,254.12,Online,Delivered,1,WINTER15,Email,254.12,2025,4,6,1,1,0
Phone,3,664.46,Online,Delivered,4,FREESHIP,Google,1993.38,2024,3,6,1,1,0
Printer,4,600.81,Debit Card,Delivered,9,SAVE10,Email,2403.24,2024,4,1,0,3,0
Chair,5,68.34,Debit Card,Pending,6,WINTER15,Referral,341.7,2025,2,5,1,1,0
Tablet,4,430.83,Gift Card,Pending,8,WINTER15,Referral,1723.32,2025,6,5,1,1,0
Chair,5,431.69,Credit Card,Pending,10,,Facebook,2158.45,2023,8,5,1,3,0
Chair,4,512.06,Online,Delivered,5,SAVE10,Google,2048.24,2024,4,3,0,1,0
Laptop,3,539.91,Credit Card,Delivered,8,,Email,1619.73,2024,11,6,1,1,0
Tablet,5,316.07,Cash,Returned,10,,Google,1580.35,2023,3,5,1,4,1
Printer,5,404.39,Online,Shipped,10,,Referral,2021.95,2024,8,5,1,4,1
Desk,1,600.54,Debit Card,Pending,4,WINTER15,Google,600.54,2025,3,2,0,0,0
Monitor,5,186.28,Debit Card,Delivered,8,SAVE10,Email,931.4,2024,4,3,0,1,0
Tablet,4,214.54,Gift Card,Cancelled,7,,Referral,858.16,2024,4,3,0,3,0
Laptop,1,210.7,Online,Shipped,2,WINTER15,Referral,210.7,2025,2,6,1,1,0
Phone,2,133.55,Cash,Pending,7,FREESHIP,Facebook,267.1,2023,12,3,0,0,0
Chair,1,590.87,Gift Card,Returned,6,FREESHIP,Referral,590.87,2023,2,2,0,2,0
Chair,2,363.91,Gift Card,Shipped,2,FREESHIP,Referral,727.82,2025,3,5,1,1,0
Printer,5,429.45,Gift Card,Cancelled,5,WINTER15,Email,2147.25,2023,7,2,0,3,0
Printer,3,223.7,Cash,Returned,3,SAVE10,Email,671.0999999999999,2024,8,5,1,1,0
Laptop,2,488.87,Online,Cancelled,4,FREESHIP,Google,977.74,2025,3,5,1,2,0
Desk,1,645.46,Gift Card,Cancelled,5,SAVE10,Google,645.46,2023,8,4,0,2,0
Printer,1,46.66,Cash,Cancelled,6,,Google,46.66,2023,7,4,0,2,0
Monitor,1,249.57,Cash,Shipped,3,FREESHIP,Google,249.57,2024,6,5,1,0,0
Chair,3,619.21,Debit Card,Cancelled,6,,Email,1857.63,2024,4,0,0,2,0
Desk,4,217.13,Cash,Delivered,8,WINTER15,Email,868.52,2025,1,4,0,0,0
Laptop,5,221.51,Cash,Returned,5,WINTER15,Referral,1107.55,2023,8,6,1,2,0
Laptop,4,340.3,Cash,Cancelled,8,SAVE10,Referral,1361.2,2024,6,1,0,1,0
Phone,1,625.0,Online,Returned,5,WINTER15,Google,625.0,2025,1,3,0,2,0
Tablet,5,433.26,Credit Card,Delivered,9,SAVE10,Google,2166.3,2025,6,5,1,2,0
Monitor,2,674.9,Online,Shipped,4,SAVE10,Facebook,1349.8,2023,6,6,1,1,0
Monitor,3,253.98,Credit Card,Cancelled,3,FREESHIP,Email,761.9399999999999,2025,2,3,0,1,0
Printer,3,356.84,Online,Shipped,5,SAVE10,Instagram,1070.52,2025,1,1,0,1,0
Laptop,4,413.71,Gift Card,Cancelled,9,FREESHIP,Facebook,1654.84,2023,9,1,0,3,0
Desk,3,147.39,Debit Card,Returned,3,,Email,442.17,2023,3,5,1,2,0
Laptop,4,229.1,Gift Card,Returned,8,WINTER15,Email,916.4,2024,4,1,0,2,0
Phone,1,121.96,Debit Card,Delivered,3,,Google,121.96,2025,3,1,0,1,0
Desk,2,408.32,Online,Shipped,3,FREESHIP,Facebook,816.64,2024,10,1,0,1,0
Tablet,5,187.97,Cash,Returned,9,SAVE10,Google,939.85,2023,8,1,0,3,0
Chair,3,358.48,Gift Card,Delivered,7,FREESHIP,Facebook,1075.44,2024,12,3,0,1,0
Printer,3,193.58,Gift Card,Pending,7,FREESHIP,Email,580.74,2025,1,4,0,1,0
Monitor,1,265.38,Credit Card,Cancelled,6,WINTER15,Email,265.38,2023,6,1,0,1,0
Laptop,1,634.4,Cash,Cancelled,6,SAVE10,Email,634.4,2023,4,3,0,1,0
Desk,4,305.72,Online,Delivered,5,,Facebook,1222.88,2024,8,2,0,2,0
Printer,1,303.6,Cash,Shipped,5,FREESHIP,Facebook,303.6,2023,8,3,0,0,0
Monitor,4,496.0,Online,Cancelled,8,WINTER15,Google,1984.0,2025,4,1,0,2,0
Desk,4,321.51,Cash,Returned,9,,Google,1286.04,2024,5,0,0,3,0
Tablet,3,112.46,Gift Card,Shipped,6,SAVE10,Instagram,337.38,2023,4,4,0,1,0
Laptop,5,61.97,Cash,Delivered,6,SAVE10,Email,309.85,2025,5,4,0,1,0
Laptop,2,373.17,Credit Card,Pending,6,SAVE10,Referral,746.34,2023,7,1,0,0,0
Tablet,5,639.37,Debit Card,Pending,6,SAVE10,Google,3196.85,2024,2,4,0,3,0
Chair,4,693.36,Online,Shipped,8,,Instagram,2773.44,2023,5,3,0,4,1
Phone,4,692.91,Credit Card,Pending,9,SAVE10,Instagram,2771.64,2024,9,2,0,3,0
Printer,4,91.46,Cash,Cancelled,9,SAVE10,Referral,365.84,2023,9,5,1,2,0
Phone,3,273.96,Debit Card,Returned,8,SAVE10,Google,821.8799999999999,2024,3,2,0,1,0
Desk,3,588.05,Gift Card,Delivered,8,,Instagram,1764.15,2025,6,4,0,2,0
Monitor,2,365.17,Online,Cancelled,4,FREESHIP,Facebook,730.34,2023,11,3,0,2,0
Chair,4,385.92,Credit Card,Cancelled,8,,Instagram,1543.68,2023,5,2,0,2,0
Tablet,1,562.61,Credit Card,Delivered,3,WINTER15,Facebook,562.61,2025,3,4,0,0,0
Desk,4,61.91,Gift Card,Delivered,6,WINTER15,Email,247.64,2023,12,5,1,1,0
Phone,4,41.9,Gift Card,Pending,9,FREESHIP,Instagram,167.6,2023,11,6,1,2,0
Printer,4,444.44,Debit Card,Cancelled,8,WINTER15,Google,1777.76,2023,5,4,0,1,0
Phone,3,311.33,Cash,Cancelled,3,WINTER15,Instagram,933.99,2024,8,5,1,1,0
Printer,4,236.41,Debit Card,Pending,7,SAVE10,Google,945.64,2024,11,1,0,0,0
Desk,1,65.45,Cash,Pending,2,WINTER15,Google,65.45,2023,2,0,0,0,0
Monitor,1,318.81,Debit Card,Pending,3,WINTER15,Email,318.81,2023,1,6,1,0,0
Monitor,3,583.72,Credit Card,Shipped,5,FREESHIP,Facebook,1751.16,2024,3,3,0,0,0
Desk,4,384.32,Credit Card,Pending,6,WINTER15,Google,1537.28,2024,12,4,0,0,0
Tablet,3,538.74,Online,Shipped,6,FREESHIP,Email,1616.22,2024,12,2,0,1,0
Tablet,1,17.24,Online,Pending,2,FREESHIP,Instagram,17.24,2023,7,2,0,1,0
Chair,5,615.67,Online,Pending,6,SAVE10,Email,3078.35,2023,5,1,0,4,1
Printer,2,219.1,Online,Pending,4,SAVE10,Referral,438.2,2023,5,1,0,1,0
Chair,2,144.66,Online,Cancelled,7,FREESHIP,Google,289.32,2025,5,4,0,2,0
Desk,2,317.77,Debit Card,Cancelled,4,WINTER15,Facebook,635.54,2023,2,3,0,1,0
Laptop,1,223.3,Online,Returned,1,,Facebook,223.3,2025,4,6,1,3,0
Desk,2,342.11,Gift Card,Shipped,2,WINTER15,Instagram,684.22,2024,8,4,0,1,0
Printer,2,220.9,Gift Card,Shipped,4,,Email,441.8,2023,7,3,0,2,0
Laptop,1,670.54,Cash,Shipped,6,FREESHIP,Referral,670.54,2023,7,6,1,0,0
Printer,1,546.19,Cash,Pending,5,FREESHIP,Referral,546.19,2024,2,2,0,0,0
Desk,3,42.95,Gift Card,Returned,8,SAVE10,Email,128.85,2023,4,2,0,2,0
Monitor,4,14.69,Cash,Cancelled,9,,Email,58.76,2025,5,3,0,3,0
Phone,4,668.36,Gift Card,Cancelled,5,FREESHIP,Facebook,2673.44,2024,9,4,0,4,1
Chair,4,413.74,Gift Card,Returned,7,FREESHIP,Instagram,1654.96,2024,3,5,1,2,0
Monitor,3,263.19,Online,Delivered,5,,Instagram,789.5699999999999,2023,12,1,0,2,0
Monitor,1,263.96,Gift Card,Returned,2,SAVE10,Google,263.96,2024,5,0,0,2,0
Chair,5,75.81,Gift Card,Returned,10,WINTER15,Instagram,379.05,2025,6,0,0,4,1
Phone,1,406.22,Credit Card,Cancelled,5,SAVE10,Referral,406.22,2024,4,1,0,1,0
Tablet,2,103.41,Online,Shipped,2,FREESHIP,Referral,206.82,2024,2,0,0,1,0
Chair,4,435.12,Credit Card,Delivered,9,SAVE10,Instagram,1740.48,2023,6,6,1,1,0
Monitor,2,407.79,Debit Card,Shipped,3,,Google,815.58,2023,5,2,0,1,0
Phone,5,173.65,Gift Card,Delivered,9,SAVE10,Email,868.25,2025,5,2,0,3,0
Phone,4,249.07,Credit Card,Returned,5,WINTER15,Referral,996.28,2023,1,1,0,1,0
Phone,4,434.85,Credit Card,Pending,4,WINTER15,Google,1739.4,2023,3,5,1,0,0
Tablet,1,436.77,Cash,Returned,5,FREESHIP,Google,436.77,2024,8,5,1,1,0
Printer,1,572.13,Debit Card,Cancelled,4,SAVE10,Google,572.13,2023,12,4,0,1,0
Chair,4,583.07,Credit Card,Cancelled,6,FREESHIP,Referral,2332.28,2024,6,5,1,3,0
Chair,5,468.51,Debit Card,Delivered,9,,Facebook,2342.55,2025,4,3,0,5,1
Phone,2,423.88,Debit Card,Delivered,7,SAVE10,Referral,847.76,2023,8,4,0,0,0
Tablet,4,663.67,Credit Card,Pending,7,FREESHIP,Google,2654.68,2023,11,5,1,2,0
Printer,4,309.91,Debit Card,Shipped,5,WINTER15,Google,1239.64,2023,6,6,1,0,0
Monitor,1,542.07,Cash,Shipped,6,WINTER15,Referral,542.07,2023,3,1,0,0,0
Chair,2,399.32,Online,Pending,6,WINTER15,Instagram,798.64,2023,9,1,0,1,0
Tablet,2,238.25,Online,Cancelled,7,FREESHIP,Email,476.5,2024,10,6,1,2,0
Phone,2,182.4,Gift Card,Cancelled,5,SAVE10,Referral,364.8,2023,2,5,1,2,0
Chair,2,65.07,Credit Card,Cancelled,4,SAVE10,Google,130.14,2023,11,5,1,1,0
Printer,2,600.57,Debit Card,Returned,3,WINTER15,Instagram,1201.14,2025,3,5,1,1,0
Chair,5,90.92,Credit Card,Delivered,9,SAVE10,Facebook,454.6,2024,9,0,0,2,0
Laptop,5,362.46,Cash,Delivered,6,FREESHIP,Instagram,1812.3,2024,11,0,0,1,0
Chair,3,55.01,Online,Pending,7,WINTER15,Email,165.03,2023,10,4,0,1,0
Tablet,3,404.62,Gift Card,Delivered,6,FREESHIP,Instagram,1213.86,2023,3,0,0,1,0
Desk,4,654.79,Cash,Pending,9,,Referral,2619.16,2023,7,3,0,4,1
Printer,4,637.79,Gift Card,Cancelled,9,FREESHIP,Google,2551.16,2025,4,1,0,5,1
Laptop,4,540.33,Cash,Shipped,6,,Google,2161.32,2025,2,4,0,1,0
